"","Taxon","site_code","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"274","FESTUCA IDAHOENSIS","cmss.us",13.5,5,27.5,25,20,14,6,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"275","FESTUCA IDAHOENSIS","oreaa.us",16.5,6.9,7.7,9.1,2.2,-8.8,11,10.3118547,0.6096,NA,42.75,0.3556,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"276","FESTUCA OVINA","allmendo.ch",7.083333333,7.25,5.416666667,7.083333333,-0.166666667,-1.666666667,1.5,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"277","FESTUCA OVINA","allmendb.ch",3.5,0.625,2.25,0.833333333,0.208333333,-1.25,1.458333333,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,"GRASS","PERENNIAL","GRASS"
"278","FESTUCA PRATENSIS","elvadrt.ee",5,5.5,6.666666667,7.333333333,1.833333333,1.666666667,0.166666667,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,"GRASS","PERENNIAL","GRASS"
"279","FESTUCA RUBRA","elvadrt.ee",1.333333333,2,3,3,1,1.666666667,-0.666666667,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"280","FESTUCA RUBRA","rhijn.nl",43.33333333,36.66666667,40,25,-11.66666667,-3.333333333,-8.333333333,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,"GRASS","PERENNIAL","GRASS"
"281","FESTUCA VAGINATA","kiskun.hu",12,10.2,17.4,17.6,7.4,5.4,2,NA,1,NA,17.18213058,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"282","FESTUCA VIVIPARA","lygraint.no",1,1,3,2,1,2,-1,13.90714177,0.065,NA,11.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"308","GOUINIA PARAGUAYENSIS","cerrillos.ar",2.505,8.13,2.815,7.5,-0.63,0.31,-0.94,23.1,0.47,NA,19.71,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"312","HELICTOTRICHON PRATENSE","allmendo.ch",1.75,3.833333333,1.083333333,3.75,-0.083333333,-0.666666667,0.583333333,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"313","HELICTOTRICHON PRATENSE","allmendb.ch",2.666666667,2.75,2.75,4.25,1.5,0.083333333,1.416666667,16.4,0.816666667,NA,14.06030769,0.79,0.669747899,85.98480816,0.1543,"GRASS","PERENNIAL","GRASS"
"314","HELICTOTRICHON PUBESCENS","elvadrt.ee",4,7.5,1.333333333,1.5,-6,-2.666666667,-3.333333333,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,"GRASS","PERENNIAL","GRASS"
"315","HELICTOTRICHON VERSICOLOR","passogavia.it",0,2,0,2.5,0.5,0,0.5,18.88884001,0.14,6.081157261,11.48996431,NA,NA,77.65999999,NA,"GRASS","PERENNIAL","GRASS"
"317","HESPEROSTIPA COMATA","mattheis.ca",16,21.25,20,21,-0.25,4,-4.25,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,"GRASS","PERENNIAL","GRASS"
"318","HESPEROSTIPA COMATA","cdpt_drt.us",13.66666667,10.83333333,10.16666667,15.5,4.666666667,-3.5,8.166666667,12.21666667,0.224,6.55,5.904809091,1.353302,0.3762,35.19975,0.38,"GRASS","PERENNIAL","GRASS"
"319","HETEROPOGON CONTORTUS","ukulingadrt.za",11.5,9,0,6,-3,-11.5,8.5,11.22375,0.21336,4.15,9.881422925,0.254,0.371,16.75282186,0.25,"GRASS","PERENNIAL","GRASS"
"321","HILARIA JAMESII","sevmixed.us",5.4,6.925,3.314285714,0.85,-6.075,-2.085714286,-3.989285714,21.68723958,0.6096,7.6,13.95707872,0.3048,NA,140.9228,0.056,"GRAMINOID","PERENNIAL","GRASS"
"325","HOLCUS LANATUS","rhijn.nl",5.333333333,5,8.4,6.666666667,1.666666667,3.066666667,-1.4,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"326","HOLCUS LANATUS","scruzh.us",1.868274733,2.909544633,13.7898687,14.5281933,11.61864867,11.92159397,-0.3029453,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,"GRASS","PERENNIAL","GRASS"
"343","KOELERIA MACRANTHA","matador.ca",1.25,2,1.833333333,2.5,0.5,0.583333333,-0.083333333,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"344","KOELERIA MACRANTHA","cdpt_drt.us",0,14,10,12,-2,10,-12,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"345","KOELERIA MACRANTHA","mattheis.ca",5.5,12.33333333,23.75,10,-2.333333333,18.25,-20.58333333,14.632,0.117368421,8.54,10.603875,0.508,0.43423927,61.632225,0.231432767,"GRAMINOID","PERENNIAL","GRASS"
"346","KOELERIA MICRATHERA","cedartrait.us",2,2.5,5,4,1.5,3,-1.5,NA,NA,NA,14.02,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"398","MOLINIA CAERULEA","lygraint.no",1,1,1,6,5,0,5,19.7245873,0.699125,8.366751778,17.87260174,0.8,NA,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"399","MOLINIA CAERULEA","lygraold.no",6,6,8,1.5,-4.5,2,-6.5,19.7245873,0.699125,8.366751778,17.87260174,0.8,NA,56.8752851,0.269333333,"GRASS","PERENNIAL","GRASS"
"401","MUHLENBERGIA ARENICOLA","sevblack.us",1,3.75,1,1,-2.75,0,-2.75,NA,NA,NA,14.31621017,NA,NA,139.5016,0.034,"GRASS","PERENNIAL","GRASS"
"402","MUHLENBERGIA RACEMOSA","cedarsav.us",5.2,0,5,0,0,-0.2,0.2,31.043,0.684,NA,31.89085821,0.065,NA,71.52399084,NA,"GRASS","PERENNIAL","GRASS"
"403","MUHLENBERGIA RICHARDSONIS","kernb.ca",2,0,3,0,0,1,-1,20.5218701,0.1524,NA,13.97,0.1524,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"405","NASSELLA NEESIANA","naposta.ar",68.33333333,57.5,50,36.66666667,-20.83333333,-18.33333333,-2.5,14.2304221,0.8,NA,16,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"406","NASSELLA TRICHOTOMA","naposta.ar",10,16.66666667,20,25,8.333333333,10,-1.666666667,NA,0.7,NA,11.297312,NA,NA,NA,0.77666667,"GRASS","PERENNIAL","GRASS"
"407","NASSELLA VIRIDULA","matador.ca",10.66666667,7.333333333,22.66666667,18.66666667,11.33333333,12,-0.666666667,12.6088734,0.6096,NA,10.77,0.3556,0.517363388,54.89286067,0.23675,"GRAMINOID","PERENNIAL","GRASS"
"408","NEURACHNE ALOPECUROIDEA","jilpanger.au",0.833333333,2,0.666666667,6.666666667,4.666666667,-0.166666667,4.833333333,NA,0.5,NA,7.6793,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"410","OREOCHLOA DISTICHA","passogavia.it",5.5,0.75,5.5,0.275,-0.475,0,-0.475,22,0.115,NA,9.2,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"413","PANICUM ACUMINATUM","cedarsav.us",3.2,2,3,4,2,-0.2,2.2,17.50836364,0.238666667,NA,21.67056595,NA,NA,180.896992,NA,"GRASS","PERENNIAL","GRASS"
"414","PANICUM OLIGOSANTHES","cedartrait.us",2,3.5,0,2,-1.5,-2,0.5,17.37461517,0.38,NA,22.63325572,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"415","PANICUM OLIGOSANTHES","cedarsav.us",2.5,2,5,0,-2,2.5,-4.5,17.37461517,0.38,NA,22.63325572,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"416","PAPPOSTIPA SPECIOSA","spvdrt.ar",2,1,1.5,1.333333333,0.333333333,-0.5,0.833333333,NA,0.6096,NA,4.202740187,0.254,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"418","PASCOPYRUM SMITHII","matador.ca",3.333333333,6.666666667,3.666666667,5.333333333,-1.333333333,0.333333333,-1.666666667,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,"GRAMINOID","PERENNIAL","GRASS"
"419","PASPALUM DILATATUM","sclaudio.ar",3,1,1,0,-1,-2,1,17.4533552,0.4722,8.133333333,16.30478,0.1524,0.102,18.37,NA,"GRASS","PERENNIAL","GRASS"
"420","PASPALUM QUADRIFARIUM","sclaudio.ar",20,0,20,0,0,0,0,10,2,NA,2.825,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"424","PHALARIS ARUNDINACEA","teshio.jp",40,10,25,12.5,2.5,-15,17.5,27.64461715,1.564054762,NA,21.45431499,0.3556,0.181670595,159.3597052,0.252341667,"GRASS","PERENNIAL","GRASS"
"425","PHLEUM ALPINUM","passogavia.it",0,0.3,0,0.2,-0.1,0,-0.1,24.71901341,0.19724,9.103855654,20.58967646,0.254,NA,73.35000002,0.25,"GRASS","PERENNIAL","GRASS"
"427","PHRAGMITES AUSTRALIS","teshio.jp",22,3,65,37.5,34.5,43,-8.5,25.29984195,NA,13.1,13.81737428,0.508,0.126872908,322.7959115,0.18602,"GRASS","PERENNIAL","GRASS"
"445","POA ALPINA","passogavia.it",1.5,4.002,2,3.16,-0.842,0.5,-1.342,13,0.298831111,16.9,21.51150438,0.254,NA,292.2,0.26,"GRASS","PERENNIAL","GRASS"
"446","POA ANGUSTIFOLIA","elvadrt.ee",1,1,1,1.5,0.5,0,0.5,12.95,0.48,5.764,20.11666667,NA,0.316453559,NA,0.113446154,"GRASS","PERENNIAL","GRASS"
"447","POA HIEMATA","falls.au",37.5,33.33333333,45.83333333,41.66666667,8.333333333,8.333333333,-7.11e-15,13.7803809,0.6,NA,3.35531,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"448","POA LANIGERA","marcdrt.ar",5.25,4.666666667,10,2.75,-1.916666667,4.75,-6.666666667,NA,NA,NA,24,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"449","POA LIGULARIS","chacra.ar",3.833333333,1.5,5,1,-0.5,1.166666667,-1.666666667,22.4,1.2,10.4,6.944926731,0.7,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"450","POA PRATENSIS","cedarsav.us",5.857142857,6.4,5.4,5.6,-0.8,-0.457142857,-0.342857143,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"451","POA PRATENSIS","brookdale.ca",66,61,6.55,6.25,-54.75,-59.45,4.7,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"452","POA PRATENSIS","cedartrait.us",3.111111111,3.2,4.125,2.6,-0.6,1.013888889,-1.613888889,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"453","POA PRATENSIS","cowidrt.ca",6.2,2.4,3.8,2.8,0.4,-2.4,2.8,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"454","POA PRATENSIS","kernnu.ca",0,0.5,10,5,4.5,10,-5.5,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"455","POA PRATENSIS","kernb.ca",0,5.25,22.66666667,18.33333333,13.08333333,22.66666667,-9.583333333,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,"GRASS","PERENNIAL","GRASS"
"456","POA SECUNDA","octc.us",33.00967403,28.77115968,16.50442414,14.82465954,-13.94650014,-16.50524989,2.55874975,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,"GRASS","PERENNIAL","GRASS"
"457","POA SECUNDA","oreac.us",10.5,1,3.5,3.5,2.5,-7,9.5,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,"GRASS","PERENNIAL","GRASS"
"458","POA SECUNDA","nplatte.us",0,11,2,2,-9,2,-11,16.12,0.42672,14.54,11.51,0.254,NA,197.6,NA,"GRASS","PERENNIAL","GRASS"
"459","POA TRIVIALIS","baddrt.de",2,0,1.403333333,0.01,0.01,-0.596666667,0.606666667,34.02187304,0.640983219,31.34075583,38.18960088,0.3048,0.080269491,601.5858444,0.173758288,"GRASS","PERENNIAL","GRASS"
"475","PSEUDOROEGNERIA SPICATA","hard.us",25,34.375,9,1,-33.375,-16,-17.375,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,"GRASS","PERENNIAL","GRASS"
"494","RYTIDOSPERMA CAESPITOSUM","credom.au",0.75,0.5,0.625,0.5,0,-0.125,0.125,NA,0.55,NA,9.440331,0.66,NA,168.7,0.271,"GRASS","PERENNIAL","GRASS"
"495","RYTIDOSPERMA CAESPITOSUM","credoj.au",1,0.7,1.125,2.333333333,1.633333333,0.125,1.508333333,NA,0.55,NA,9.440331,0.66,NA,168.7,0.271,"GRASS","PERENNIAL","GRASS"
"496","RYTIDOSPERMA NUDIFLORUM","falls.au",2,0,1,0,0,-1,1,18.933775,0.4,NA,3.575778,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"509","SCHIZACHYRIUM SCOPARIUM","cedarsav.us",14.28571429,16,20.625,17,1,6.339285714,-5.339285714,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"510","SCHIZACHYRIUM SCOPARIUM","sand.us",6,7.5,14,9,1.5,8,-6.5,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"511","SCHIZACHYRIUM SCOPARIUM","cedartrait.us",9.555555556,7.4,10.11111111,6,-1.4,0.555555556,-1.955555556,9.196,0.5145,8.51,16.698695,0.3048,0.403212551,75.67983333,0.2,"GRASS","PERENNIAL","GRASS"
"517","SCLEROPOGON BREVIFOLIUS","sevblack.us",4.1,0.75,1.95,0,-0.75,-2.15,1.4,NA,NA,NA,14.7175273,0.996,NA,279.3546,0.053333333,"GRASS","PERENNIAL","GRASS"
"523","SETARIA PAMPEANA","cerrillos.ar",14.16666667,10,20.00333333,3.75,-6.25,5.836666667,-12.08666667,24.7,0.38,NA,19.52,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"524","SETARIA PARVIFLORA","yarradrt.au",7.36,20.33333333,21.25,3.333333333,-17,13.89,-30.89,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,"NULL","PERENNIAL","GRASS"
"550","SORGHASTRUM NUTANS","cedartrait.us",6.6,7.5,15,2,-5.5,8.4,-13.9,11.00766508,1.036,12.414309,NA,0.6096,0.242752216,106.1696388,0.254561111,"GRASS","PERENNIAL","GRASS"
"551","SORGHASTRUM NUTANS","konzadrt.us",11.5,5.333333333,6,8.25,2.916666667,-5.5,8.416666667,11.00766508,1.036,12.414309,NA,0.6096,0.242752216,106.1696388,0.254561111,"GRASS","PERENNIAL","GRASS"
"552","SORGHASTRUM NUTANS","cedarsav.us",23.5,17.2,12.5,25,7.8,-11,18.8,11.00766508,1.036,12.414309,NA,0.6096,0.242752216,106.1696388,0.254561111,"GRASS","PERENNIAL","GRASS"
"553","SORGHUM HALEPENSE","sclaudio.ar",5.333333333,5.833333333,10,15.25,9.416666667,4.666666667,4.75,22.2,1.3834,NA,17.98889051,0.254,NA,NA,NA,"GRAMINOID","PERENNIAL","GRASS"
"558","SPOROBOLUS CRYPTANDRUS","cdpt_drt.us",7,1,3,1.125,0.125,-4,4.125,12.97358435,0.352,27.8335825,23.90754717,0.4572,0.476,22.63833333,NA,"GRASS","PERENNIAL","GRASS"
"559","SPOROBOLUS FLEXUOSUS","jorndrt.us",1,0,1.65,12,12,0.65,11.35,NA,0.9144,NA,15.81345753,0.254,NA,NA,0.04,"GRASS","PERENNIAL","GRASS"
"562","STENOTAPHRUM SECUNDATUM","marcdrt.ar",3,2,1.5,2,0,-1.5,1.5,NA,0.27432,NA,23,0.3048,NA,NA,0.1855714,"GRASS","PERENNIAL","GRASS"
"563","STIPA COMATA","biddulph.ca",3.5,5.5,12.5,14.5,9,9,0,20.1,0.9144,15.9,16.95,0.4064,0.49068467,79.18825345,0.2,"GRAMINOID","PERENNIAL","GRASS"
"564","STIPA elegantissima","credom.au",0.5,0,0.5,0,0,0,0,NA,0.36,NA,18.174,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"565","STIPA NITIDA","credom.au",0.75,5.5,0.5,4.125,-1.375,-0.25,-1.125,NA,0.8,NA,9.58,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"566","STIPA NITIDA","credoj.au",0.5,6.833333333,0.5,8.5,1.666666667,0,1.666666667,NA,0.8,NA,9.58,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"567","STIPA PENNATA","kiskun.hu",9.6,8.8,8.4,6.2,-2.6,-1.2,-1.4,13.2,0.475,10.1,16.05136437,NA,0.238540863,45.88074833,0.4617094,"GRASS","PERENNIAL","GRASS"
"568","STIPA PULCHRA","scruzh.us",35.45813537,41.73103135,27.69133725,8.2963652,-33.43466615,-7.766798117,-25.66786803,NA,NA,NA,21.2309966,NA,0.01859375,132.7,0.356625,"FORB","PERENNIAL","GRASS"
"569","STIPA SCABRA","cobar.au",4,1,3.5,12,11,-0.5,11.5,NA,0.8,NA,13.27,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"570","STIPA SPARTEA","cedarsav.us",3.666666667,3.5,15,0,-3.5,11.33333333,-14.83333333,14.01546154,0.576,18,8.74965934,0.254,0.393143677,61.25734351,0.2496,"GRASS","PERENNIAL","GRASS"
"571","STIPA SPECIOSA","paike.ar",21.33333333,27,21.66666667,27,0,0.333333333,-0.333333333,12.13,0.169,7.94,15.44,0.352,NA,22.41,0.352,"GRASS","PERENNIAL","GRASS"
"587","THEMEDA TRIANDRA","ukulingadrt.za",31.66666667,30,11.33333333,15,-15,-20.33333333,5.333333333,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,"GRASS","PERENNIAL","GRASS"
"596","TRIDENS FLAVUS","konzadrt.us",0,2,0,1,-1,0,-1,13.07,0.660992,NA,12.5091284,0.254,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"608","TRIODIA BASEDOWII","ethadn.au",34.66666667,37,49.33333333,49.33333333,12.33333333,14.66666667,-2.333333333,6.4,1.3,NA,NA,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"609","TRIODIA BASEDOWII","ethadb.au",7,11,36,31.5,20.5,29,-8.5,6.4,1.3,NA,NA,NA,NA,NA,NA,"GRASS","PERENNIAL","GRASS"
"613","TRISETUM SPICATUM","falls.au",0.5,0.5,0.5,1,0.5,0,0.5,24.54076945,0.32706,NA,21.1,0.3048,NA,NA,0.24,"GRASS","PERENNIAL","GRASS"
"614","TRISTACHYA LEUCOTHRIX","ukulingadrt.za",46.66666667,42,30.5,46.66666667,4.666666667,-16.16666667,20.83333333,9.6,0.424,4.466666667,16.28247734,NA,0.62,NA,0.366666667,"GRASS","PERENNIAL","GRASS"
