"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group"
"4","matador.ca","ACHILLEA MILLEFOLIUM",0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"5","oreac.us","ACHILLEA MILLEFOLIUM",3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"6","cedartrait.us","ACHILLEA MILLEFOLIUM",2.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"7","allmendo.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"8","allmendb.ch","ACHILLEA MILLEFOLIUM",-1.125,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"9","kernb.ca","ACHILLEA MILLEFOLIUM",0.333333334,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"10","elvadrt.ee","ACHILLEA MILLEFOLIUM",6,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"11","brookdale.ca","ACHILLEA MILLEFOLIUM",0.5,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"12","hard.us","ACHILLEA MILLEFOLIUM",-5.25,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"13","cmss.us","ACHILLEA MILLEFOLIUM",-22,16.44,0.1575,8.489473684,30.38,0.2032,0.738525,116.0295267,0.210703923,0.553384646,"PERENNIAL","FORB","FORB"
"27","lygraint.no","AGROSTIS CAPILLARIS",1,27.65006595,0.393022873,8.907142857,44.73267142,0.3048,0.128571429,141.2639378,0.153459029,0.425077037,"PERENNIAL","GRASS","GRASS"
"35","cedartrait.us","AGROSTIS STOLONIFERA",2.666666667,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
"36","elvadrt.ee","AGROSTIS STOLONIFERA",0,31.5111841,0.385,4.9,16.89577067,0.3048,0.1,11.32952711,0.239,0.363783369,"PERENNIAL","GRASS","GRASS"
"51","cedartrait.us","AMORPHA CANESCENS",0.666666667,21.77,0.446,27.18327333,13.80561828,0.508,0.194,6.160976759,0.585778,0.340163729,"PERENNIAL","FORB","LEGUME"
"52","cedarsav.us","AMORPHA CANESCENS",4.583333334,21.77,0.446,27.18327333,13.80561828,0.508,0.194,6.160976759,0.585778,0.340163729,"PERENNIAL","FORB","LEGUME"
"57","cedartrait.us","ANDROPOGON GERARDII",-2.6,15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,"PERENNIAL","GRASS","GRASS"
"58","brookdale.ca","ANDROPOGON GERARDII",10.56944444,15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,"PERENNIAL","GRASS","GRASS"
"59","cedarsav.us","ANDROPOGON GERARDII",-10.42619047,15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,"PERENNIAL","GRASS","GRASS"
"60","purdue.us","ANDROPOGON GERARDII",7.91666667,15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,"PERENNIAL","GRASS","GRASS"
"61","konzadrt.us","ANDROPOGON GERARDII",5.8,15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,"PERENNIAL","GRASS","GRASS"
"66","lygraint.no","ANTHOXANTHUM ODORATUM",-1,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,"PERENNIAL","GRASS","GRASS"
"67","rhijn.nl","ANTHOXANTHUM ODORATUM",-8.75,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,"PERENNIAL","GRASS","GRASS"
"68","cowidrt.ca","ANTHOXANTHUM ODORATUM",1.366666667,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,"PERENNIAL","GRASS","GRASS"
"69","elvadrt.ee","ANTHOXANTHUM ODORATUM",-5.833333333,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,"PERENNIAL","GRASS","GRASS"
"70","teshio.jp","ANTHOXANTHUM ODORATUM",-2.01666667,20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,"PERENNIAL","GRASS","GRASS"
"71","allmendo.ch","ANTHYLLIS VULNERARIA",-0.541666667,32.33118574,0.2845,19.6042,18.11730025,1.7,0.144333333,149.3012403,0.0549,0.332563131,"PERENNIAL","FORB","LEGUME"
"74","kiskun.hu","ARENARIA SERPYLLIFOLIA",0.505,17.48,0.075,13.275,23.7,0.21,0.207422972,627.505,0.067,0.183673469,"ANNUAL","FORB","FORB"
"78","jrnchi.us","ARISTIDA PURPUREA",1.0691693,14.9,0.086,6.528089643,35.63,1.315133333,0.7061,26.65175783,0.327164,0.366204139,"PERENNIAL","GRASS","GRASS"
"79","cdpt_drt.us","ARISTIDA PURPUREA",-6.666666667,14.9,0.086,6.528089643,35.63,1.315133333,0.7061,26.65175783,0.327164,0.366204139,"PERENNIAL","GRASS","GRASS"
"82","rhijn.nl","ARRHENATHERUM ELATIUS",17.16666666,25.84,0.4715,8.902914385,29.67,0.3556,0.3197,190.1954961,0.153268837,0.590536924,"PERENNIAL","GRASS","GRASS"
"84","konzadrt.us","ARTEMISIA LUDOVICIANA",-1,19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,"PERENNIAL","FORB","FORB"
"85","kernnu.ca","ARTEMISIA LUDOVICIANA",1.25,19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,"PERENNIAL","FORB","FORB"
"86","cedarsav.us","ARTEMISIA LUDOVICIANA",-1.4,19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,"PERENNIAL","FORB","FORB"
"87","brookdale.ca","ARTEMISIA LUDOVICIANA",3.533333333,19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,"PERENNIAL","FORB","FORB"
"88","kernb.ca","ARTEMISIA LUDOVICIANA",-9.5,19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,"PERENNIAL","FORB","FORB"
"90","cedartrait.us","ASCLEPIAS TUBEROSA",-2,26.19666667,0.4575,19.260113,25.51287911,0.4064,0.5,36.66666667,0.22,0.53,"PERENNIAL","FORB","FORB"
"116","cedartrait.us","BOUTELOUA CURTIPENDULA",0,16.6,0.2475,13.6452491,36.44,0.3048,0.597475,108.473243,0.311237007,0.388111111,"PERENNIAL","GRASS","GRASS"
"117","konzadrt.us","BOUTELOUA CURTIPENDULA",-2,16.6,0.2475,13.6452491,36.44,0.3048,0.597475,108.473243,0.311237007,0.388111111,"PERENNIAL","GRASS","GRASS"
"118","cedartrait.us","BOUTELOUA GRACILIS",8.5,16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,"PERENNIAL","GRASS","GRASS"
"119","cdpt_drt.us","BOUTELOUA GRACILIS",-1.16666667,16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,"PERENNIAL","GRASS","GRASS"
"120","mattheis.ca","BOUTELOUA GRACILIS",-1.6,16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,"PERENNIAL","GRASS","GRASS"
"121","nplatte.us","BOUTELOUA GRACILIS",24.72857143,16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,"PERENNIAL","GRASS","GRASS"
"124","allmendo.ch","BRACHYPODIUM PINNATUM",2.916666667,18.10766667,0.540866667,7.10106212,23.44096448,0.1,0.22129993,207.6695041,0.29,0.45742541,"PERENNIAL","GRASS","GRASS"
"125","allmendb.ch","BRACHYPODIUM PINNATUM",-3.33333333,18.10766667,0.540866667,7.10106212,23.44096448,0.1,0.22129993,207.6695041,0.29,0.45742541,"PERENNIAL","GRASS","GRASS"
"129","allmendo.ch","BRIZA MEDIA",-0.416666666,19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,"PERENNIAL","GRASS","GRASS"
"130","allmendb.ch","BRIZA MEDIA",-0.833333334,19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,"PERENNIAL","GRASS","GRASS"
"131","elvadrt.ee","BRIZA MEDIA",1e-08,19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,"PERENNIAL","GRASS","GRASS"
"133","cowidrt.ca","BROMUS CARINATUS",0,25.72839682,0.176,5.14,21.99023979,0.2032,0.315,96.20199367,0.135077867,0.454425295,"PERENNIAL","GRASS","GRASS"
"134","marcdrt.ar","BROMUS CATHARTICUS",13.91666666,39.6088,0.9572,4.9,35,0.3048,0.30525,129.3385704,0.113,0.28,"ANNUAL","GRASS","GRASS"
"135","naposta.ar","BROMUS CATHARTICUS",-18.33333334,39.6088,0.9572,4.9,35,0.3048,0.30525,129.3385704,0.113,0.28,"ANNUAL","GRASS","GRASS"
"138","allmendo.ch","BROMUS ERECTUS",-6.41666666,18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,"PERENNIAL","GRASS","GRASS"
"139","allmendb.ch","BROMUS ERECTUS",-3.41666667,18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,"PERENNIAL","GRASS","GRASS"
"140","baddrt.de","BROMUS HORDEACEUS",-1.09,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,"ANNUAL","GRASS","GRASS"
"141","scruzh.us","BROMUS HORDEACEUS",-1.27374145,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,"ANNUAL","GRASS","GRASS"
"142","scruzl.us","BROMUS HORDEACEUS",-1.0204082,25.57289667,0.6899,10.2,27.4569232,0.254,0.2,471.2364007,0.137083333,0.391482632,"ANNUAL","GRASS","GRASS"
"143","brookdale.ca","BROMUS INERMIS",-1.033333333,23.12,0.15,6.56875,46.32,0.3048,0.6827,28.58549426,0.324438565,0.559941695,"PERENNIAL","GRASS","GRASS"
"153","nnss.us","BROMUS TECTORUM",-3.683842713,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,"ANNUAL","GRASS","GRASS"
"154","nplatte.us","BROMUS TECTORUM",-19.32380952,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,"ANNUAL","GRASS","GRASS"
"155","hard.us","BROMUS TECTORUM",3,24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,"ANNUAL","GRASS","GRASS"
"167","kernnu.ca","CAMPANULA ROTUNDIFOLIA",0,21.08333333,0.452,10.4,18.59949234,1.105,0.141566667,9.643369802,0.169907407,0.776835528,"PERENNIAL","FORB","FORB"
"187","allmendo.ch","CAREX FLACCA",-3.25,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,"PERENNIAL","GRAMINOID","GRAMINOID"
"188","allmendb.ch","CAREX FLACCA",0.125,17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,"PERENNIAL","GRAMINOID","GRAMINOID"
"203","allmendo.ch","CENTAUREA JACEA",1.666666667,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,"PERENNIAL","FORB","FORB"
"204","allmendb.ch","CENTAUREA JACEA",-0.416666666,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,"PERENNIAL","FORB","FORB"
"205","rhijn.nl","CENTAUREA JACEA",-24.5,25.06160617,0.8275,11.34202,23.24878232,0.155,0.328737037,116.6184597,0.133545753,0.480420665,"PERENNIAL","FORB","FORB"
"217","matador.ca","CERASTIUM ARVENSE",-1,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"218","kernnu.ca","CERASTIUM ARVENSE",-0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"219","kernb.ca","CERASTIUM ARVENSE",0.25,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"220","elvadrt.ee","CERASTIUM ARVENSE",0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"221","paike.ar","CERASTIUM ARVENSE",0,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"222","cowidrt.ca","CERASTIUM ARVENSE",-0.5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"223","brookdale.ca","CERASTIUM ARVENSE",-5,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"224","cmss.us","CERASTIUM ARVENSE",3,31.27074148,0.1244,12.13333333,16.77322585,0.22,0.188766667,44.40181564,0.486326636,0.1737,"PERENNIAL","FORB","FORB"
"235","cdpt_drt.us","CHENOPODIUM ALBUM",0,27.125,0.3325,8.8,15.34103501,1.125,0.230308403,52.97317748,0.330451196,0.205678834,"ANNUAL","FORB","FORB"
"250","kernnu.ca","CIRSIUM ARVENSE",-3.083333334,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,"PERENNIAL","FORB","FORB"
"251","kernb.ca","CIRSIUM ARVENSE",-3.25,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,"PERENNIAL","FORB","FORB"
"252","baddrt.de","CIRSIUM ARVENSE",-2.077777778,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,"PERENNIAL","FORB","FORB"
"253","brookdale.ca","CIRSIUM ARVENSE",0.400000003,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,"PERENNIAL","FORB","FORB"
"254","esw.ca","CIRSIUM ARVENSE",0.5,29.75611991,0.15,8.15,21.12,1.4125,0.70945,119.9058435,0.244438578,0.294068165,"PERENNIAL","FORB","FORB"
"275","allmendb.ch","CREPIS BIENNIS",-1.5,18.28,0.2,10.22761651,19.04,0.99,0.425214286,154.7062535,0.113427835,0.637934928,"PERENNIAL","FORB","FORB"
"276","baddrt.de","CREPIS BIENNIS",-9.657142857,18.28,0.2,10.22761651,19.04,0.99,0.425214286,154.7062535,0.113427835,0.637934928,"BIENNIAL","FORB","FORB"
"295","rhijn.nl","CYNOSURUS CRISTATUS",-4.333333333,23.43756154,0.588,8.984294197,24.18157407,0.22,0.200318519,360.0166897,0.229,0.499845166,"PERENNIAL","GRASS","GRASS"
"297","cowidrt.ca","DACTYLIS GLOMERATA",5.1,20.01241462,0.2225,3.95,45.99,0.3048,0.422325,29.04686668,0.157828901,0.484069109,"PERENNIAL","GRASS","GRASS"
"298","rhijn.nl","DACTYLIS GLOMERATA",4.16666667,20.01241462,0.2225,3.95,45.99,0.3048,0.422325,29.04686668,0.157828901,0.484069109,"PERENNIAL","GRASS","GRASS"
"299","elvadrt.ee","DACTYLIS GLOMERATA",1.66666667,20.01241462,0.2225,3.95,45.99,0.3048,0.422325,29.04686668,0.157828901,0.484069109,"PERENNIAL","GRASS","GRASS"
"303","esw.ca","DAUCUS CAROTA",2,23.75644602,0.487097662,12.75277167,17.82232194,0.8925,0.314314803,244.5257138,0.077,0.569956278,"BIENNIAL","FORB","FORB"
"304","elvadrt.ee","DAUCUS CAROTA",0,23.75644602,0.487097662,12.75277167,17.82232194,0.8925,0.314314803,244.5257138,0.077,0.569956278,"BIENNIAL","FORB","FORB"
"306","paike.ar","DESCHAMPSIA CESPITOSA",0,19.38145224,0.623466667,9.504294333,15.23396119,1.23,0.206048414,364.9892355,0.24,0.463646707,"PERENNIAL","GRASS","GRASS"
"307","hyide.de","DESCHAMPSIA FLEXUOSA",-1,21.14852266,0.40801415,6.90123,17.70866263,0.2032,0.233751852,196.6766667,0.410694171,0.357471274,"PERENNIAL","GRASS","GRASS"
"308","lygraint.no","DESCHAMPSIA FLEXUOSA",1.5,21.14852266,0.40801415,6.90123,17.70866263,0.2032,0.233751852,196.6766667,0.410694171,0.357471274,"PERENNIAL","GRASS","GRASS"
"309","hoide.de","DESCHAMPSIA FLEXUOSA",-5,21.14852266,0.40801415,6.90123,17.70866263,0.2032,0.233751852,196.6766667,0.410694171,0.357471274,"PERENNIAL","GRASS","GRASS"
"328","octc.us","ELYMUS ELYMOIDES",-0.073247858,20.3,0.255,6.333333333,20.1,0.3048,0.62075,19.41916685,0.387230769,0.328333333,"PERENNIAL","GRASS","GRASS"
"329","oreac.us","ELYMUS ELYMOIDES",12.95833333,20.3,0.255,6.333333333,20.1,0.3048,0.62075,19.41916685,0.387230769,0.328333333,"PERENNIAL","GRASS","GRASS"
"330","oreaa.us","ELYMUS ELYMOIDES",0.05,20.3,0.255,6.333333333,20.1,0.3048,0.62075,19.41916685,0.387230769,0.328333333,"PERENNIAL","GRASS","GRASS"
"332","esw.ca","ELYMUS REPENS",0,26.17661742,0.22,16.42030861,30.7,0.3556,0.408375,24.17441564,0.200167235,0.453232931,"PERENNIAL","GRASS","GRASS"
"377","gmgranite.us","ERODIUM CICUTARIUM",5.285714285,27.82176667,0.3255,11.47977948,33.62785763,1.45,0.1243,131.6796733,0.43626943,0.549608355,"ANNUAL","FORB","FORB"
"378","gmmolar.us","ERODIUM CICUTARIUM",1.357142857,27.82176667,0.3255,11.47977948,33.62785763,1.45,0.1243,131.6796733,0.43626943,0.549608355,"ANNUAL","FORB","FORB"
"379","spvdrt.ar","ERODIUM CICUTARIUM",0,27.82176667,0.3255,11.47977948,33.62785763,1.45,0.1243,131.6796733,0.43626943,0.549608355,"ANNUAL","FORB","FORB"
"387","allmendo.ch","EUPHORBIA CYPARISSIAS",1.5,29.16635667,0.2375,8.96,23.6,0.89,0.50435,82.89593285,0.295652174,0.459459459,"PERENNIAL","FORB","FORB"
"388","allmendb.ch","EUPHORBIA CYPARISSIAS",-1.5,29.16635667,0.2375,8.96,23.6,0.89,0.50435,82.89593285,0.295652174,0.459459459,"PERENNIAL","FORB","FORB"
"404","marcdrt.ar","FESTUCA ARUNDINACEA",28.91666667,26.75,0.922297147,9.306666667,16.0169955,1.415,0.383552278,167.503371,0.210653817,0.386256373,"PERENNIAL","GRASS","GRASS"
"405","sclaudio.ar","FESTUCA ARUNDINACEA",4.75,26.75,0.922297147,9.306666667,16.0169955,1.415,0.383552278,167.503371,0.210653817,0.386256373,"PERENNIAL","GRASS","GRASS"
"410","allmendb.ch","FESTUCA OVINA",1.458333333,16.78631631,0.414347827,7.790299962,19.60698369,0.254,0.205406167,180.6632143,0.18,0.346186217,"PERENNIAL","GRASS","GRASS"
"411","allmendo.ch","FESTUCA OVINA",1.499999999,16.78631631,0.414347827,7.790299962,19.60698369,0.254,0.205406167,180.6632143,0.18,0.346186217,"PERENNIAL","GRASS","GRASS"
"412","rhijn.nl","FESTUCA PRATENSIS",-1,19.46927506,0.4,9.037334647,26.12,2.6825,0.217565197,289.7039134,0.091553497,0.614932652,"PERENNIAL","GRASS","GRASS"
"413","elvadrt.ee","FESTUCA PRATENSIS",0.166666666,19.46927506,0.4,9.037334647,26.12,2.6825,0.217565197,289.7039134,0.091553497,0.614932652,"PERENNIAL","GRASS","GRASS"
"415","elvadrt.ee","FESTUCA RUBRA",-0.666666667,19.05492673,0.115,3.9,19.51431627,0.3048,0.12,348.147287,0.190815184,0.278900454,"PERENNIAL","GRASS","GRASS"
"416","rhijn.nl","FESTUCA RUBRA",-8.33333334,19.05492673,0.115,3.9,19.51431627,0.3048,0.12,348.147287,0.190815184,0.278900454,"PERENNIAL","GRASS","GRASS"
"424","baddrt.de","GALIUM APARINE",-0.21,30.3875,0.765787211,17.66740825,35.74370723,0.1016,0.153183334,342.4265529,0.246153846,0.31826418,"ANNUAL","FORB","FORB"
"425","cowidrt.ca","GALIUM APARINE",-1.5,30.3875,0.765787211,17.66740825,35.74370723,0.1016,0.153183334,342.4265529,0.246153846,0.31826418,"ANNUAL","FORB","FORB"
