"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","local_lifespan","local_lifeform","functional_group"
"542","spvdrt.ar","HYPOCHAERIS RADICATA",0.333333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.261638779,151.7703194,0.14089564,"PERENNIAL","FORB","FORB"
"543","charleville.au","HYPOCHAERIS RADICATA",0.333333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.261638779,151.7703194,0.14089564,"ANNUAL","FORB","FORB"
"544","yarradrt.au","HYPOCHAERIS RADICATA",6.598333333,17.75,0.3505,5.956457605,28.79050968,0.5475,0.261638779,151.7703194,0.14089564,"PERENNIAL","FORB","FORB"
"545","baddrt.de","HYPOCHAERIS RADICATA",0.8,17.75,0.3505,5.956457605,28.79050968,0.5475,0.261638779,151.7703194,0.14089564,"PERENNIAL","FORB","FORB"
"554","teshio.jp","JUNCUS EFFUSUS",-38,10.75127,0.664285714,9.325765248,6.765762036,0.6096,0.56575,117.1474667,0.202890258,"PERENNIAL","GRAMINOID","GRAMINOID"
"559","lygraold.no","JUNIPERUS COMMUNIS",-2,11.83275055,4.953888889,6.475833557,9.641628751,0.3556,0.4478375,5.55,0.6,"PERENNIAL","SHRUB","WOODY"
"562","matador.ca","KOELERIA MACRANTHA",-0.083333333,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRASS","GRASS"
"563","mattheis.ca","KOELERIA MACRANTHA",-20.58333333,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRASS","GRASS"
"564","cdpt_drt.us","KOELERIA MACRANTHA",-12,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRASS","GRASS"
"565","biddulph.ca","KOELERIA MACRANTHA",0.25,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRAMINOID","GRASS"
"566","hard.us","KOELERIA MACRANTHA",0,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRASS","GRASS"
"567","konzadrt.us","KOELERIA MACRANTHA",2.6,15.4,0.136,7.325,20.12,0.508,0.26642,154.286624,0.405508934,"PERENNIAL","GRASS","GRASS"
"569","matador.ca","KRASCHENINNIKOVIA LANATA",9.166666667,24.4,0.2,21.33333333,11.20220464,0.3048,0.2343,6.495339737,0.587798829,"PERENNIAL","FORB","WOODY"
"572","kernb.ca","LACTUCA TATARICA",-2.25,22.6,0.441428571,7.133333333,6.176234778,2.4,0.336325,27.48041934,0.213227444,"PERENNIAL","FORB","FORB"
"578","elvadrt.ee","LATHYRUS PRATENSIS",-15,39.68831026,0.475733333,25.11541,24.65295817,1.18,0.4965,63.29727228,0.141833333,"PERENNIAL","LEGUME","LEGUME"
"579","rhijn.nl","LATHYRUS PRATENSIS",5,39.68831026,0.475733333,25.11541,24.65295817,1.18,0.4965,63.29727228,0.141833333,"PERENNIAL","LEGUME","LEGUME"
"583","allmendo.ch","LEONTODON HISPIDUS",0,23.92644618,0.371,11.53789754,24.61213746,0.3,0.273284146,204.9072943,0.134462153,"PERENNIAL","FORB","FORB"
"584","elvadrt.ee","LEONTODON HISPIDUS",5.33333333,23.92644618,0.371,11.53789754,24.61213746,0.3,0.273284146,204.9072943,0.134462153,"PERENNIAL","FORB","FORB"
"591","cedartrait.us","LESPEDEZA CAPITATA",-3.283333333,19.09948702,0.842,31.172408,12.25680193,0.4572,0.333275,79.00332954,0.18700225,"PERENNIAL","FORB","LEGUME"
"594","allmendb.ch","LEUCANTHEMUM VULGARE",0.375,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.23427,205.5962002,0.178238532,"PERENNIAL","FORB","FORB"
"595","rhijn.nl","LEUCANTHEMUM VULGARE",2,30.26796208,0.53192,9.640667198,18.01419965,0.2032,0.23427,205.5962002,0.178238532,"PERENNIAL","FORB","FORB"
"601","cdpt_drt.us","LIATRIS PUNCTATA",0.5,16.8,0.0925,11.75,11.09,0.3556,0.606825,118.8077502,0.167531,"PERENNIAL","FORB","FORB"
"613","mattheis.ca","LITHOSPERMUM INCISUM",13,26.9,0.093666667,16.25,10.79151546,3.03,0.2063875,107.882151,0.58125,"PERENNIAL","FORB","FORB"
"614","cdpt_drt.us","LITHOSPERMUM INCISUM",-0.75,26.9,0.093666667,16.25,10.79151546,3.03,0.2063875,107.882151,0.58125,"PERENNIAL","FORB","FORB"
"619","scruzl.us","LOLIUM PERENNE",-2.338968367,19.23,0.4,9.7,18.31,0.254,0.1,220.8471095,0.186794228,"ANNUAL","GRASS","GRASS"
"620","scruzm.us","LOLIUM PERENNE",-0.6371753,19.23,0.4,9.7,18.31,0.254,0.1,220.8471095,0.186794228,"ANNUAL","GRASS","GRASS"
"624","allmendo.ch","LOTUS CORNICULATUS",0.25,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.351194598,104.3277979,0.084566667,"PERENNIAL","FORB","LEGUME"
"625","yarradrt.au","LOTUS CORNICULATUS",0.193333333,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.351194598,104.3277979,0.084566667,"PERENNIAL","LEGUME","LEGUME"
"626","allmendb.ch","LOTUS CORNICULATUS",-1.500000001,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.351194598,104.3277979,0.084566667,"PERENNIAL","FORB","LEGUME"
"627","purdue.us","LOTUS CORNICULATUS",-4.25,32.37274407,0.357339206,21.21401,20.8418579,0.3556,0.351194598,104.3277979,0.084566667,"PERENNIAL","LEGUME","LEGUME"
"629","cedartrait.us","LUPINUS PERENNIS",0.4,32.9375,0.38,29.52364967,19.49355322,0.32,0.34,17.10482839,0.32,"PERENNIAL","FORB","LEGUME"
"648","esw.ca","MEDICAGO LUPULINA",-0.5,32.94,0.1,8.5,21.96,0.3048,0.281707971,38.6836264,0.05175,"BOTH","LEGUME","LEGUME"
"649","marcdrt.ar","MEDICAGO LUPULINA",-1,32.94,0.1,8.5,21.96,0.3048,0.281707971,38.6836264,0.05175,"BIENNIAL","FORB","LEGUME"
"650","elvadrt.ee","MEDICAGO LUPULINA",-1.000000003,32.94,0.1,8.5,21.96,0.3048,0.281707971,38.6836264,0.05175,"PERENNIAL","LEGUME","LEGUME"
"651","allmendb.ch","MEDICAGO LUPULINA",-0.75,32.94,0.1,8.5,21.96,0.3048,0.281707971,38.6836264,0.05175,"BIENNIAL","FORB","LEGUME"
"652","credom.au","MEDICAGO MINIMA",-3.75,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.3834,211.5066667,0.1565,"ANNUAL","FORB","LEGUME"
"653","credoj.au","MEDICAGO MINIMA",-7.833333333,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.3834,211.5066667,0.1565,"ANNUAL","FORB","LEGUME"
"654","kiskun.hu","MEDICAGO MINIMA",-0.08,41.21475238,0.1701,33.34666667,21.02654321,0.22,0.3834,211.5066667,0.1565,"ANNUAL","FORB","LEGUME"
"659","marcdrt.ar","MELILOTUS OFFICINALIS",8,43.985,0.493,10.4,27.09343963,1.16,0.29,37.95643063,0.380689176,"BIENNIAL","FORB","LEGUME"
"668","cedartrait.us","MONARDA FISTULOSA",-2,11.29051118,0.662,17.87547,16.99988269,0.1016,0.28925,32.46391317,0.1508955,"PERENNIAL","FORB","FORB"
"673","sand.us","MORELLA CERIFERA",5,17.7,5.823692308,12.65043574,16.30496347,0.508,0.313333333,42.07931829,0.136588343,"PERENNIAL","SHRUB","WOODY"
"685","matador.ca","NASSELLA VIRIDULA",-0.666666663,34.2,0.359625,5.933333333,10.24538572,0.3556,0.23675,16.53035729,0.517363388,"PERENNIAL","GRASS","GRASS"
"686","kernnu.ca","NASSELLA VIRIDULA",-1,34.2,0.359625,5.933333333,10.24538572,0.3556,0.23675,16.53035729,0.517363388,"PERENNIAL","GRAMINOID","GRASS"
"716","matador.ca","PASCOPYRUM SMITHII",-1.666666668,26.7742,0.3225,8.191666667,18.14,1.703333333,0.5478,48.8474242,0.3298444,"PERENNIAL","GRASS","GRASS"
"718","sclaudio.ar","PASPALUM DILATATUM",1,16.40963333,0.4722,8.133333333,16.30478023,0.1524,0.59,18.37,0.135549114,"PERENNIAL","GRASS","GRASS"
"745","oreaa.us","PHLOX HOODII",-1,23.26666667,0.02825,11.8,13.95070877,0.54,0.2647,107.0545926,0.180454545,"PERENNIAL","FORB","FORB"
"747","teshio.jp","PHRAGMITES AUSTRALIS",-8.5,32.70171952,1.800047619,13.1,15.86350939,0.508,0.18602,322.7959115,0.126872908,"PERENNIAL","GRASS","GRASS"
"752","kranz.de","PICEA ABIES",0,13.01773524,32.57365602,8.231665,6.351365518,0.7112,0.727774529,16.43077549,0.318839542,"PERENNIAL","TREE","WOODY"
"753","baddrt.de","PICRIS HIERACIOIDES",-4.5,24.11,0.157,12.13,18.58,1.23,0.45557832,193.765,0.118,"PERENNIAL","FORB","FORB"
"756","allmendo.ch","PIMPINELLA SAXIFRAGA",-0.499999999,21.22166667,0.445,3.322678571,20.92174997,2.42685,0.228622222,149.6596103,0.315348446,"PERENNIAL","FORB","FORB"
"757","allmendb.ch","PIMPINELLA SAXIFRAGA",1.416666667,21.22166667,0.445,3.322678571,20.92174997,2.42685,0.228622222,149.6596103,0.315348446,"PERENNIAL","FORB","FORB"
"763","allmendo.ch","PLANTAGO LANCEOLATA",0.166666667,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"PERENNIAL","FORB","FORB"
"764","allmendb.ch","PLANTAGO LANCEOLATA",0.625,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"PERENNIAL","FORB","FORB"
"765","yarradrt.au","PLANTAGO LANCEOLATA",-0.3,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"PERENNIAL","FORB","FORB"
"766","scruzh.us","PLANTAGO LANCEOLATA",9.91114287,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"ANNUAL","FORB","FORB"
"767","rhijn.nl","PLANTAGO LANCEOLATA",0.666666667,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"PERENNIAL","FORB","FORB"
"768","baddrt.de","PLANTAGO LANCEOLATA",0.25,25.695,0.2225,23.59846931,17.59,0.57,0.502025,225.0999155,0.138912722,"PERENNIAL","FORB","FORB"
"784","kernnu.ca","POA PRATENSIS",-5.5,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRAMINOID","GRASS"
"785","cowidrt.ca","POA PRATENSIS",2.8,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRASS","GRASS"
"786","cedartrait.us","POA PRATENSIS",-1.613888889,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRASS","GRASS"
"787","rhijn.nl","POA PRATENSIS",1,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRASS","GRASS"
"788","kernb.ca","POA PRATENSIS",-9.58333334,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRAMINOID","GRASS"
"789","cedarsav.us","POA PRATENSIS",-0.342857143,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRASS","GRASS"
"790","brookdale.ca","POA PRATENSIS",4.7,13.65,0.409,6.364705882,12.16,0.254,0.196318683,102.2077615,0.295076346,"PERENNIAL","GRASS","GRASS"
"791","oreac.us","POA SECUNDA",9.5,16.12,0.42672,8.666666667,14.77820838,0.254,0.54,185.3795099,0.360570292,"PERENNIAL","GRASS","GRASS"
"792","nplatte.us","POA SECUNDA",-11,16.12,0.42672,8.666666667,14.77820838,0.254,0.54,185.3795099,0.360570292,"PERENNIAL","GRASS","GRASS"
"793","octc.us","POA SECUNDA",2.55874975,16.12,0.42672,8.666666667,14.77820838,0.254,0.54,185.3795099,0.360570292,"PERENNIAL","GRASS","GRASS"
"795","baddrt.de","POA TRIVIALIS",0.606666667,34.02187304,0.640983219,31.34075583,35.67170494,0.3048,0.173758288,601.5858444,0.167554532,"PERENNIAL","GRASS","GRASS"
"814","allmendo.ch","PRUNELLA VULGARIS",-4.25,16.811555,0.250255556,5.87871,23.15800111,0.254,0.294300536,223.0600732,0.161917314,"PERENNIAL","FORB","FORB"
"815","allmendb.ch","PRUNELLA VULGARIS",0.666666663,16.811555,0.250255556,5.87871,23.15800111,0.254,0.294300536,223.0600732,0.161917314,"PERENNIAL","FORB","FORB"
"816","rhijn.nl","PRUNELLA VULGARIS",1.5,16.811555,0.250255556,5.87871,23.15800111,0.254,0.294300536,223.0600732,0.161917314,"PERENNIAL","FORB","FORB"
"819","cdpt_drt.us","PSORALIDIUM TENUIFLORUM",-5.2,24.3,0.056,26.25,16.82,2.598333333,0.66942,34.26262715,0.426284493,"PERENNIAL","FORB","LEGUME"
"820","konzadrt.us","PSORALIDIUM TENUIFLORUM",4.78,24.3,0.056,26.25,16.82,2.598333333,0.66942,34.26262715,0.426284493,"PERENNIAL","FORB","LEGUME"
"821","sand.us","PTERIDIUM AQUILINUM",-7.5,21.68333333,1.99667,9.852689835,16.50649574,0.254,0.2511,53.87484386,0.184848485,"PERENNIAL","FORB","FORB"
"830","elvadrt.ee","RANUNCULUS ACRIS",2.666666666,24.40250649,0.26,8.85,22.85689329,0.44,0.35099,79.42699605,0.215759509,"PERENNIAL","FORB","FORB"
"831","rhijn.nl","RANUNCULUS ACRIS",0.6,24.40250649,0.26,8.85,22.85689329,0.44,0.35099,79.42699605,0.215759509,"PERENNIAL","FORB","FORB"
"833","teshio.jp","RANUNCULUS REPENS",1,30.80309083,0.243333333,9.982096286,23.70182726,0.1524,0.412452083,217.6519817,0.133080484,"PERENNIAL","FORB","FORB"
"846","brookdale.ca","ROSA ACICULARIS",0.216666667,10.65,0.24,8.371428571,13.82021754,0.1524,0.2912,138.3891933,0.108244816,"PERENNIAL","SHRUB","WOODY"
"847","biddulph.ca","ROSA ARKANSANA",-5,17.3145,0.292,6.833333333,10.90830461,6.4516,0.30555,6.20547896,0.421153994,"PERENNIAL","SHRUB","WOODY"
"848","kernb.ca","ROSA ARKANSANA",2.916666667,17.3145,0.292,6.833333333,10.90830461,6.4516,0.30555,6.20547896,0.421153994,"PERENNIAL","WOODY","WOODY"
"849","kernnu.ca","ROSA ARKANSANA",6.75,17.3145,0.292,6.833333333,10.90830461,6.4516,0.30555,6.20547896,0.421153994,"PERENNIAL","WOODY","WOODY"
"850","cedarsav.us","ROSA ARKANSANA",1,17.3145,0.292,6.833333333,10.90830461,6.4516,0.30555,6.20547896,0.421153994,"PERENNIAL","SHRUB","WOODY"
"851","cedartrait.us","ROSA ARKANSANA",1,17.3145,0.292,6.833333333,10.90830461,6.4516,0.30555,6.20547896,0.421153994,"PERENNIAL","SHRUB","WOODY"
"853","purdue.us","RUDBECKIA HIRTA",0,28.33854,0.48345,21.64598,20.28284683,0.254,0.2691575,119.2626432,0.134249,"THREE","FORB","FORB"
"855","elvadrt.ee","RUMEX ACETOSA",0,40.4730773,0.63555,9.226533422,27.38613324,0.9,0.240291458,161.1286432,0.252258472,"PERENNIAL","FORB","FORB"
"856","rhijn.nl","RUMEX ACETOSA",1.25,40.4730773,0.63555,9.226533422,27.38613324,0.9,0.240291458,161.1286432,0.252258472,"PERENNIAL","FORB","FORB"
"857","falls.au","RUMEX ACETOSELLA",-0.25,11.61,0.235714286,18.76112,30.32394073,0.902,0.262467915,69.76965918,0.147587959,"PERENNIAL","FORB","FORB"
"858","baddrt.de","RUMEX CRISPUS",2.5,28.64619072,0.671,3.807,27.4215048,2.915,0.17924,10.56194309,0.469710744,"PERENNIAL","FORB","FORB"
"871","allmendb.ch","SANGUISORBA MINOR",-1.75,19.82857143,0.340136667,13.0925861,18.63307157,0.3048,0.4611271,118.7237432,0.280697821,"PERENNIAL","FORB","FORB"
"883","cedartrait.us","SCHIZACHYRIUM SCOPARIUM",-1.955555554,14.4,0.15,7.8,29.88,0.3048,0.563175,71.66428973,0.290984038,"PERENNIAL","GRASS","GRASS"
"884","sand.us","SCHIZACHYRIUM SCOPARIUM",-6.5,14.4,0.15,7.8,29.88,0.3048,0.563175,71.66428973,0.290984038,"PERENNIAL","GRASS","GRASS"
"885","cedarsav.us","SCHIZACHYRIUM SCOPARIUM",-5.33928571,14.4,0.15,7.8,29.88,0.3048,0.563175,71.66428973,0.290984038,"PERENNIAL","GRASS","GRASS"
"924","brookdale.ca","SOLIDAGO CANADENSIS",-2.5,15.13338959,0.485,5.2,14.07665001,0.3048,0.486273328,17.1911586,0.085770833,"PERENNIAL","FORB","FORB"
"925","purdue.us","SOLIDAGO CANADENSIS",-15.875,15.13338959,0.485,5.2,14.07665001,0.3048,0.486273328,17.1911586,0.085770833,"PERENNIAL","FORB","FORB"
"926","esw.ca","SOLIDAGO CANADENSIS",-14.66666667,15.13338959,0.485,5.2,14.07665001,0.3048,0.486273328,17.1911586,0.085770833,"PERENNIAL","FORB","FORB"
"927","baddrt.de","SOLIDAGO CANADENSIS",4.2,15.13338959,0.485,5.2,14.07665001,0.3048,0.486273328,17.1911586,0.085770833,"PERENNIAL","FORB","FORB"
"928","kernb.ca","SOLIDAGO MISSOURIENSIS",0.75,13.3335,0.576,5.2,12.52507393,0.2032,0.323716667,100.2127031,0.269866647,"PERENNIAL","FORB","FORB"
"929","cedartrait.us","SOLIDAGO NEMORALIS",-4.85714286,15.47778333,0.57,5.2,12.76442277,0.3048,0.369872222,208.2087011,0.17795925,"PERENNIAL","FORB","FORB"
"930","brookdale.ca","SOLIDAGO RIGIDA",-1,14.59,0.598,5.2,10.23214847,0.3048,0.34,35.33592984,0.215521046,"PERENNIAL","FORB","FORB"
"931","cedartrait.us","SOLIDAGO RIGIDA",-7.66666667,14.59,0.598,5.2,10.23214847,0.3048,0.34,35.33592984,0.215521046,"PERENNIAL","FORB","FORB"
"942","lygraold.no","SORBUS AUCUPARIA",2,22.42468397,12.84846655,10.49866006,17.31445092,0.7112,1.3965,5.449818182,0.499096607,"PERENNIAL","TREE","WOODY"
"943","konzadrt.us","SORGHASTRUM NUTANS",8.416666667,9,0.263333334,12.414309,29.61,0.6096,0.5351,106.1696388,0.244891,"PERENNIAL","GRASS","GRASS"
"944","cedartrait.us","SORGHASTRUM NUTANS",-13.9,9,0.263333334,12.414309,29.61,0.6096,0.5351,106.1696388,0.244891,"PERENNIAL","GRASS","GRASS"
"945","cedarsav.us","SORGHASTRUM NUTANS",18.8,9,0.263333334,12.414309,29.61,0.6096,0.5351,106.1696388,0.244891,"PERENNIAL","GRASS","GRASS"
"949","cdpt_drt.us","SPHAERALCEA COCCINEA",0.666666667,28.09,0.075,8.966666667,12.61454363,0.1524,0.3163,15.44302838,0.312666667,"PERENNIAL","FORB","FORB"
"950","nplatte.us","SPHAERALCEA COCCINEA",-2,28.09,0.075,8.966666667,12.61454363,0.1524,0.3163,15.44302838,0.312666667,"PERENNIAL","FORB","FORB"
"953","cdpt_drt.us","SPOROBOLUS CRYPTANDRUS",4.125,17.56,0.352,27.8335825,23.90754717,0.4572,0.219983333,22.63833333,0.476,"PERENNIAL","GRASS","GRASS"
"960","biddulph.ca","STIPA COMATA",0,20.1,0.9144,15.9,16.95,0.4064,0.2,79.18825345,0.33136934,"PERENNIAL","GRAMINOID","GRASS"
"965","kiskun.hu","STIPA PENNATA",-1.4,13.2,0.475,10.1,16.05136437,0.806,0.4617094,45.88074833,0.198761949,"PERENNIAL","GRASS","GRASS"
"968","cedarsav.us","STIPA SPARTEA",-14.83333333,14.01546154,0.576,18,8.74965934,0.254,0.2496,61.25734351,0.403650758,"PERENNIAL","GRASS","GRASS"
"974","brookdale.ca","SYMPHORICARPOS OCCIDENTALIS",4.5,16.7,0.549285714,6.3,10.49876226,0.4572,0.302883333,8.049888555,0.337326723,"PERENNIAL","SHRUB","FORB"
"975","kernb.ca","SYMPHYOTRICHUM ERICOIDES",-1.5,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"976","matador.ca","SYMPHYOTRICHUM ERICOIDES",0,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"977","mattheis.ca","SYMPHYOTRICHUM ERICOIDES",-15.5,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"978","konzadrt.us","SYMPHYOTRICHUM ERICOIDES",11.8,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"979","brookdale.ca","SYMPHYOTRICHUM ERICOIDES",-2.75,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"980","hard.us","SYMPHYOTRICHUM ERICOIDES",7.333333333,12.6,0.415652174,11.01821,21.0716,0.76,0.3263,73.83666667,0.151923077,"PERENNIAL","FORB","FORB"
"988","cedartrait.us","TARAXACUM CAMPYLODES",4.916666667,28.3472693,0.044,10.73618,30.37717515,0.1524,0.292,213.1,0.253916667,"PERENNIAL","FORB","FORB"
"997","allmendo.ch","TEUCRIUM CHAMAEDRYS",-0.416666667,18.27717333,0.190683889,19.69,14.20029163,1.62,0.264622222,149.5449877,0.114,"PERENNIAL","SHRUB","WOODY"
"998","allmendb.ch","TEUCRIUM CHAMAEDRYS",-9.5,18.27717333,0.190683889,19.69,14.20029163,1.62,0.264622222,149.5449877,0.114,"PERENNIAL","SHRUB","WOODY"
"1017","mattheis.ca","TRAGOPOGON DUBIUS",-2.8,30.29,0.1925,6.75,19.99,0.1524,0.6475,58.4594469,0.226936116,"PERENNIAL","FORB","FORB"
"1018","cdpt_drt.us","TRAGOPOGON DUBIUS",0.6,30.29,0.1925,6.75,19.99,0.1524,0.6475,58.4594469,0.226936116,"ANNUAL","FORB","FORB"
"1019","matador.ca","TRAGOPOGON DUBIUS",-1.5,30.29,0.1925,6.75,19.99,0.1524,0.6475,58.4594469,0.226936116,"BIENNIAL","FORB","FORB"
"1021","lygraold.no","TRICHOPHORUM CESPITOSUM",-3,15.3,0.4,4.4,3.79,0.1,0.425,35.47,0.199,"PERENNIAL","GRAMINOID","GRAMINOID"
"1022","lygraint.no","TRICHOPHORUM CESPITOSUM",1.5,15.3,0.4,4.4,3.79,0.1,0.425,35.47,0.199,"PERENNIAL","GRAMINOID","GRAMINOID"
"1027","allmendb.ch","TRIFOLIUM PRATENSE",-0.25,40.4444317,0.26475,14,18.1925463,0.3048,0.256183381,47.93962745,0.124475,"PERENNIAL","FORB","LEGUME"
"1028","rhijn.nl","TRIFOLIUM PRATENSE",0,40.4444317,0.26475,14,18.1925463,0.3048,0.256183381,47.93962745,0.124475,"PERENNIAL","LEGUME","LEGUME"
"1029","esw.ca","TRIFOLIUM PRATENSE",7.99999999,40.4444317,0.26475,14,18.1925463,0.3048,0.256183381,47.93962745,0.124475,"PERENNIAL","LEGUME","LEGUME"
"1030","elvadrt.ee","TRIFOLIUM REPENS",-13,33.84977,0.198333333,17.69090909,32.58529583,0.3048,0.263218929,64.58137829,0.0525,"PERENNIAL","LEGUME","LEGUME"
"1031","teshio.jp","TRIFOLIUM REPENS",-0.666666667,33.84977,0.198333333,17.69090909,32.58529583,0.3048,0.263218929,64.58137829,0.0525,"PERENNIAL","LEGUME","LEGUME"
"1039","lygraint.no","VACCINIUM MYRTILLUS",-3,18.74819405,0.386262821,5.5077,19.57309957,0.007,0.35,93.72272771,0.459752422,"PERENNIAL","SUBSHRUB","WOODY"
"1040","lygraold.no","VACCINIUM MYRTILLUS",6,18.74819405,0.386262821,5.5077,19.57309957,0.007,0.35,93.72272771,0.459752422,"PERENNIAL","SUBSHRUB","WOODY"
"1051","elvadrt.ee","VERONICA CHAMAEDRYS",0.5,25.804,0.234,10.00287923,30.84289646,0.34,0.149373333,349.9700698,0.114461321,"PERENNIAL","FORB","FORB"
"1052","rhijn.nl","VERONICA CHAMAEDRYS",-5.000000003,25.804,0.234,10.00287923,30.84289646,0.34,0.149373333,349.9700698,0.114461321,"PERENNIAL","FORB","FORB"
"1054","matador.ca","VICIA AMERICANA",0,35.46973684,0.161588235,16.79090909,15.10490851,0.254,0.363178334,609.8218073,0.163035714,"PERENNIAL","FORB","LEGUME"
"1055","kernb.ca","VICIA AMERICANA",0.5,35.46973684,0.161588235,16.79090909,15.10490851,0.254,0.363178334,609.8218073,0.163035714,"PERENNIAL","FORB","LEGUME"
"1056","brookdale.ca","VICIA AMERICANA",0,35.46973684,0.161588235,16.79090909,15.10490851,0.254,0.363178334,609.8218073,0.163035714,"PERENNIAL","VINE","LEGUME"
"1057","kernnu.ca","VICIA AMERICANA",0.833333333,35.46973684,0.161588235,16.79090909,15.10490851,0.254,0.363178334,609.8218073,0.163035714,"PERENNIAL","FORB","LEGUME"
"1058","elvadrt.ee","VICIA CRACCA",-1.333333333,41.79727454,0.879038889,24.42381,24.95250441,0.3048,0.463024976,41.43187551,0.1491,"PERENNIAL","LEGUME","LEGUME"
"1059","cowidrt.ca","VICIA HIRSUTA",0.65,43.2098,0.4375,28.02801,22.05714286,0.66,0.2074,87.90712843,0.3375,"ANNUAL","FORB","LEGUME"
"1060","scruzm.us","VICIA SATIVA",-1.492047983,54.71597209,0.7509,3.5,28.89142857,0.3048,0.222666667,60.47073255,0.430769231,"ANNUAL","FORB","LEGUME"
"1061","cowidrt.ca","VICIA SATIVA",1.15,54.71597209,0.7509,3.5,28.89142857,0.3048,0.222666667,60.47073255,0.430769231,"ANNUAL","FORB","LEGUME"
"1071","jilpanger.au","VULPIA MYUROS",-0.5,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.19,268.91,0.044,"ANNUAL","GRASS","GRASS"
"1072","scruzl.us","VULPIA MYUROS",-8.82967493,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.19,268.91,0.044,"ANNUAL","GRASS","GRASS"
"1073","scruzh.us","VULPIA MYUROS",-54.15358008,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.19,268.91,0.044,"ANNUAL","GRASS","GRASS"
"1074","baddrt.de","VULPIA MYUROS",-79.47619048,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.19,268.91,0.044,"ANNUAL","GRASS","GRASS"
