,Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group
383,ESCHSCHOLZIA CALIFORNICA,30.69230769,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,FORB,PERENNIAL,FORB
930,STIPA PULCHRA,NA,NA,NA,21.2309966,NA,0.01859375,132.7,0.356625,FORB,PERENNIAL,GRASS
1150,LOLIUM MULTIFLORUM,29.26878304,0.533,17.31666667,25.47714286,0.2032,0.022,178.6858956,0.26045,,,
105,AVENA BARBATA,17,0.389,NA,25.674375,0.5,0.02363125,149,0.373688235,GRASS,ANNUAL,GRASS
166,CAMPANULA PATULA,27.77811089,0.4375,14.26593954,33.98333333,0.29,0.0375,NA,0.265133333,FORB,PERENNIAL,FORB
1021,VULPIA MYUROS,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,GRASS,ANNUAL,GRASS
64,ARENARIA SERPYLLIFOLIA,12,0.075,13.275,23.7,0.21,0.067,627.505,0.207422972,FORB,ANNUAL,FORB
39,ALOPECURUS PRATENSIS,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,GRASS,PERENNIAL,GRASS
258,CREPIS FOETIDA,17.2,0.27525,14.175,20.14985816,NA,0.072,296.13,0.280689138,FORB,PERENNIAL,FORB
727,PICRIS HIERACIOIDES,24.11,0.157,12.13,18.58,1.23,0.0725,193.765,0.45557832,FORB,PERENNIAL,FORB
141,BROMUS CATHARTICUS,39.6088,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,GRASS,NULL,GRASS
41,AMBROSIA ARTEMISIIFOLIA,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,FORB,ANNUAL,FORB
1236,VERONICA PERSICA,10.69385,0.197,13.095,37.0252478,NA,0.08,496.275,0.243952497,,,
760,POA TRIVIALIS,34.02187304,0.640983219,31.34075583,38.18960088,0.3048,0.080269491,601.5858444,0.173758288,GRASS,PERENNIAL,GRASS
949,TAGETES MINUTA,44.5,0.7,10.3,13.875,NA,0.081,44.84,0.3,FORB,ANNUAL,FORB
618,MEDICAGO MINIMA,36.2,0.1701,33.34666667,24.66638889,0.22,0.0815,211.5066667,0.3834,LEGUME,ANNUAL,LEGUME
192,CARLINA VULGARIS,15.78260486,0.385,NA,22.08870347,0.87,0.082888022,322.3538749,0.246275926,FORB,PERENNIAL,FORB
472,HELIANTHUS ANNUUS,18,NA,27.3,18.91505647,0.2032,0.086907021,191.3969043,0.945853228,FORB,ANNUAL,FORB
245,CONYZA CANADENSIS,27.9,0.836805556,NA,21.34368455,0.1524,0.09,119,0.35,FORB,NULL,FORB
363,ERIGERON CANADENSIS,27.5,0.676,NA,21.20435157,1.09,0.09,119,0.35,FORB,ANNUAL,FORB
479,HELICTOTRICHON PUBESCENS,24.3,0.680625,7.892636683,18.69463141,0.3,0.090296815,62.86954053,0.161264502,GRASS,PERENNIAL,GRASS
409,FESTUCA PRATENSIS,22.6929621,0.4,9.037334647,21.47,0.233,0.091553497,289.7039134,0.217565197,GRASS,PERENNIAL,GRASS
373,ERIOPHORUM VAGINATUM,18.34176544,0.441666667,7.2,10.24422818,0.4,0.0933333,148.81,0.756666667,GRAMINOID,NULL,GRAMINOID
1007,VICIA AMERICANA,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME
248,COREOPSIS PALMATA,12.06502778,0.614,18.5591,18.06209157,NA,0.1,82.33333333,0.33,FORB,PERENNIAL,FORB
889,SISYRINCHIUM BELLUM,17.68333333,0.1575,NA,23.93793933,NA,0.101107003,118.754489,0.32952,FORB,PERENNIAL,FORB
690,PASPALUM DILATATUM,17.4533552,0.4722,8.133333333,16.30478,0.1524,0.102,18.37,NA,GRASS,PERENNIAL,GRASS
87,ARTEMISIA VULGARIS,44.63333333,1.439387862,NA,21.44697757,NA,0.103788328,270.1683965,0.241066667,FORB,PERENNIAL,FORB
445,GLECHOMA HEDERACEA,13.09,0.072,15.84806833,21.32,0.14,0.104315255,419.5272801,0.213838095,FORB,PERENNIAL,FORB
589,LOLIUM PERENNE,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,"PERENNIAL, ANNUAL (SantaCruzLow, SantaCruzMiddle)",GRASS
430,GALIUM MOLLUGO,29.6653889,0.57825,12.06782427,21.5515698,NA,0.105319476,406.1581499,0.264461111,FORB,ANNUAL,FORB
786,PRUNELLA VULGARIS,16.811555,0.250255556,5.87871,22.91466839,0.254,0.105496279,223.0600732,0.294300536,FORB,PERENNIAL,FORB
617,MEDICAGO LUPULINA,32.94,0.112,26.12778969,21.96,0.3048,0.105696982,180.1564169,0.281707971,FORB,BIENNIAL,LEGUME
57,ANTHOXANTHUM ODORATUM,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,GRASS,PERENNIAL,GRASS
757,POA PRATENSIS,14.974,0.291,9.46,24.13531364,0.254,0.107208566,49.82696,0.196318683,GRASS,PERENNIAL,GRASS
982,TRIFOLIUM DUBIUM,35.6,0.076,27.56771735,30.39,0.3445,0.109,254.8747547,0.231187416,LEGUME,ANNUAL,LEGUME
372,ERIOPHORUM ANGUSTIFOLIUM,20.00955403,0.392104,5.5,13.32708698,0.2895,0.11,37.5,0.7875,GRAMINOID,NULL,GRAMINOID
285,DALEA CANDIDA,25.2,0.46064,18,10.76043991,1.74,0.11247663,80.24918574,0.309342857,LEGUME,PERENNIAL,LEGUME
256,CREPIS BIENNIS,18.28,0.183,10.22761651,19.04,0.99,0.113427835,154.7062535,0.425214286,FORB,PERENNIAL,FORB
984,TRIFOLIUM MONTANUM,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME
22,AGRIMONIA EUPATORIA,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,FORB,PERENNIAL,FORB
1005,VERONICA CHAMAEDRYS,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB
76,ARRHENATHERUM ELATIUS,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"GRASS, Forb (Jena)",PERENNIAL,GRASS
621,MELILOTUS OFFICINALIS,NA,1.5,3.75,19.375,1.16,0.12,100,0.29,GRASS,BIENNIAL,LEGUME
939,SYMPHYOTRICHUM FALCATUM,22.282,0.4175,8.6,14.18715,NA,0.12,79.08403333,0.31118,FORB,PERENNIAL,FORB
942,SYMPHYOTRICHUM NOVAE-ANGLIAE,23.5,1.022302632,NA,23.88988777,NA,0.12,52,0.46,FORB,PERENNIAL,FORB
945,SYMPHYOTRICHUM OOLENTANGIENSE,16.02907407,0.7209,19.81443763,14.68950044,NA,0.12,81.16666667,0.35,FORB,PERENNIAL,FORB
811,RANUNCULUS ACRIS,24.40250649,0.455420833,11.25,22.35741937,0.44,0.121892828,139.8527763,0.35099,FORB,PERENNIAL,FORB
986,TRIFOLIUM REPENS,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME
21,AGOSERIS GLAUCA,17.172,0.1183,8.85,19.71405909,0.1524,0.12631018,56.33396327,NA,FORB,PERENNIAL,FORB
243,COMMELINA CYANEA,30.634,0.1,NA,34.85,NA,0.12642,NA,0.05284,FORB,PERENNIAL,FORB
719,PHRAGMITES AUSTRALIS,25.29984195,NA,13.1,13.81737428,0.508,0.126872908,322.7959115,0.18602,GRASS,PERENNIAL,GRASS
594,LOTUS CORNICULATUS,32.37274407,0.357339206,21.21401,21.71513633,0.3556,0.12871093,104.3277979,0.351194598,FORB,PERENNIAL,LEGUME
900,SOLIDAGO NEMORALIS,15.47778333,0.57,23.31317375,13.95394921,0.3048,0.129791058,208.2087011,0.369872222,FORB,PERENNIAL,FORB
119,BELLIS PERENNIS,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,FORB,PERENNIAL,FORB
813,RANUNCULUS REPENS,23.05293867,0.369253333,9.982096286,29.1838443,0.1524,0.133080484,217.6519817,0.412452083,FORB,PERENNIAL,FORB
209,CERASTIUM FONTANUM,24.9755,0.218333333,8.721238939,25.83139407,NA,0.133299797,101.6244572,0.282,FORB,PERENNIAL,FORB
198,CENTAUREA JACEA,25.06160617,0.8275,11.34202,21.9478316,0.155,0.133545753,116.6184597,0.328737037,FORB,PERENNIAL,FORB
554,LEONTODON HISPIDUS,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,FORB,PERENNIAL,FORB
569,LIATRIS ASPERA,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,FORB,PERENNIAL,FORB
144,BROMUS HORDEACEUS,25.57289667,0.6899,10.2,27.25455017,0.254,0.137083333,471.2364007,0.2,GRASS,ANNUAL,GRASS
283,DACTYLIS GLOMERATA,25.72069341,0.671309259,10.15714286,26.04843708,0.3048,0.138583824,304.2076965,0.142857143,GRASS,PERENNIAL,GRASS
740,PLANTAGO LANCEOLATA,25.695,0.320146825,23.59846931,23.55,0.57,0.138912722,225.0999155,0.228368317,FORB,PERENNIAL,FORB
11,ACHILLEA MILLEFOLIUM,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,FORB,PERENNIAL,FORB
674,PANICUM CAPILLARE,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,GRASS,ANNUAL,GRASS
433,GALIUM VERUM,21.6094737,0.516038889,11.75956766,17.72121934,0.7266667,0.140178711,402.3842917,0.122981034,FORB,PERENNIAL,FORB
880,SETARIA PARVIFLORA,17.972,0.316785714,NA,26.31,NA,0.14029,NA,0.045,NULL,NULL,GRASS
511,HYPOCHAERIS RADICATA,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,FORB,PERENNIAL,FORB
547,LATHYRUS PRATENSIS,39.68831026,0.475733333,25.11541,24.99129113,1.18,0.141833333,63.29727228,0.4965,LEGUME,PERENNIAL,LEGUME
828,RUBIA PEREGRINA,13.1,0.25275,13.4,14.4517037,0.143,0.143,104.1,0.3625,VINE,PERENNIAL,FORB
115,BAPTISIA ALBA,38.8,0.566,NA,10.46479935,NA,0.143056646,146.141189,0.309371429,FORB,PERENNIAL,LEGUME
831,RUDBECKIA HIRTA,28.33854,0.48345,21.64598,19.67108394,0.254,0.14325585,119.2626432,0.2691575,FORB,ANNUAL,FORB
741,PLANTAGO MEDIA,21.618,0.343555556,20.97373175,19.41312728,1.265,0.14470696,247.0511695,0.251542857,FORB,NULL,FORB
167,CAMPANULA ROTUNDIFOLIA,21.08333333,0.452,13.14618087,22.94812699,1.125,0.146551312,475.6578007,0.141566667,FORB,PERENNIAL,FORB
402,FALCARIA VULGARIS,NA,1.2613,NA,13.0375,1.8,0.147,216.667,1.15043,FORB,PERENNIAL,FORB
463,HEDEOMA HISPIDA,15.5,0.14225,NA,21.38832049,NA,0.15,166,0.22,FORB,ANNUAL,FORB
938,SYMPHYOTRICHUM ERICOIDES,12.6,0.5257,11.01821,20.14194711,0.76,0.151923077,73.83666667,0.3263,FORB,PERENNIAL,FORB
789,PSEUDOROEGNERIA SPICATA,NA,0.267,NA,23.893,NA,0.153771092,103.8213416,0.237714286,GRASS,PERENNIAL,GRASS
481,HELIOPSIS HELIANTHOIDES,13.384,1.2745,NA,19.34129566,NA,0.155412644,61.30678286,0.38123125,FORB,PERENNIAL,FORB
716,PHLEUM PRATENSE,18.59699785,0.844195238,9.9,23.72403526,0.254,0.155576899,393.5587203,0.133333333,GRASS,PERENNIAL,GRASS
56,ANTENNARIA NEGLECTA,14.85633333,0.3048,NA,17.70998319,0.2286,0.15753416,118.3340008,0.277125,FORB,PERENNIAL,FORB
216,CHAMAECRISTA FASCICULATA,39.6,0.73152,NA,20.88,0.3556,0.162591084,96.91819095,0.2980125,FORB,ANNUAL,LEGUME
985,TRIFOLIUM PRATENSE,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME
990,TRISETUM FLAVESCENS,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,GRASS,PERENNIAL,GRASS
835,RUMEX ACETOSELLA,34.93757406,0.235714286,18.76112,26.0517312,0.342666667,0.166783945,235.1049652,0.262467915,FORB,PERENNIAL,FORB
572,LIATRIS PUNCTATA,16.817,0.6096,NA,9.8333502,0.3556,0.16753096,118.8077502,0.3044,FORB,PERENNIAL,FORB
181,CAREX FLACCA,17.07498081,0.37125,4.956666667,14.4018786,0.83,0.169025277,218.7926062,0.380313725,GRAMINOID,PERENNIAL,GRAMINOID
297,DESCHAMPSIA CESPITOSA,19.38145224,0.623466667,9.504294333,15.38069921,1.23,0.170736151,364.9892355,0.206048414,GRASS,PERENNIAL,GRASS
1140,KOELERIA VALLESIANA,14.98597333,0.06,19.775,5.603339544,NA,0.170799038,86.18117333,0.366132113,,,
978,TRAGOPOGON PRATENSIS,27,0.575,20.30344663,22.41578318,NA,0.170824899,150.3177187,0.287861111,FORB,PERENNIAL,FORB
287,DALEA PURPUREA,14.1,0.5272,13.9583,13.02080619,1.525,0.174143261,73.40507735,0.341785714,FORB,PERENNIAL,LEGUME
143,BROMUS ERECTUS,18.81892435,0.717333333,7.243150315,21.09580137,0.894,0.174709631,157.1212818,0.273789089,GRASS,PERENNIAL,GRASS
565,LEUCANTHEMUM VULGARE,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,FORB,PERENNIAL,FORB
138,BRIZA MEDIA,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,"PERENNIAL, Annual (Jilpanger)",GRASS
20,AGASTACHE FOENICULUM,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,FORB,PERENNIAL,FORB
156,CALAMOVILFA LONGIFOLIA,13.59,0.968,5.2246,10.96892152,0.508,0.18,33,0.48,GRAMINOID,PERENNIAL,GRASS
408,FESTUCA OVINA,16.78631631,0.414347827,7.790299962,16.83674211,0.254,0.18,180.6632143,0.02,GRASS,PERENNIAL,GRASS
717,PHLOX HOODII,23.27,0.02825,NA,13.95070877,0.54,0.180454545,107.0545926,0.2647,FORB,PERENNIAL,FORB
712,PHALARIS ARUNDINACEA,27.64461715,1.564054762,NA,21.45431499,0.3556,0.181670595,159.3597052,0.252341667,GRASS,PERENNIAL,GRASS
793,PTERIDIUM AQUILINUM,21.68333333,1.99667,9.852689835,16.98656271,0.254,0.184848485,53.87484386,0.2511,FERN,NULL,FORB
133,BRACHYPODIUM PINNATUM,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,GRASS,PERENNIAL,GRASS
729,PILOSELLA PILOSELLOIDES,12.76308667,0.455,NA,27.17333333,NA,0.187679414,13.38170314,NA,FORB,PERENNIAL,FORB
1041,ANEMONE CYLINDRICA,21.49286663,0.378666667,18.61450125,15.51323914,NA,0.19,77,0.36,,,
128,BOUTELOUA CURTIPENDULA,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,GRASS,PERENNIAL,GRASS
473,HELIANTHUS PAUCIFLORUS,11.69,0.39,NA,9.153001144,1.27,0.19,52,0.36,NULL,NULL,FORB
902,SOLIDAGO SPECIOSA,10.8,0.7403,8.9032965,8.834,NA,0.19,57,0.38,FORB,NULL,FORB
1232,VERBASCUM THAPSUS,22.02,0.948833333,10.57730317,18.71464984,NA,0.19,48.32998315,0.46,,,
549,LATHYRUS VENOSUS,30.13845455,0.3533,NA,18.46365493,NA,0.194444444,46.82957143,0.3725,LEGUME,PERENNIAL,LEGUME
1009,VICIA CRACCA,41.79727454,0.879038889,24.42381,26.81365133,0.3048,0.195683333,41.43187551,0.463024976,LEGUME,PERENNIAL,LEGUME
979,TRICHOPHORUM CESPITOSUM,15.3,0.4,4.4,3.79,0.1,0.199,35.47,0.425,GRAMINOID,NULL,GRAMINOID
28,AGROSTIS SCABRA,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,GRASS,PERENNIAL,GRASS
49,ANDROPOGON GERARDII,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,GRASS,PERENNIAL,GRASS
523,JUNCUS EFFUSUS,12.64837681,1.1116225,9.325765248,8.991914828,0.6096,0.202890258,42.24025782,0.56575,GRAMINOID,PERENNIAL,GRAMINOID
687,PASCOPYRUM SMITHII,16.774,0.525,11.28,12.75359048,1.703333,0.206075395,21.32212,0.175766667,GRAMINOID,PERENNIAL,GRASS
899,SOLIDAGO MISSOURIENSIS,13.3335,0.576,10.93,10.60804205,0.2032,0.208174196,100.2127031,0.323716667,FORB,PERENNIAL,FORB
404,FESTUCA ARUNDINACEA,26.75,0.922297147,9.306666667,16.0977261,1.415,0.208261132,167.503371,0.383552278,GRASS,PERENNIAL,GRASS
1136,JUNCUS CONGLOMERATUS,NA,0.878333333,NA,4.906666667,NA,0.210556925,33.97720262,NA,,,
496,HOLCUS LANATUS,24.56210683,0.554013615,9.716666667,33.50183772,0.1016,0.210999112,311.996707,0.116666667,GRASS,PERENNIAL,GRASS
29,AGROSTIS STOLONIFERA,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,GRASS,PERENNIAL,GRASS
491,HIERACIUM PILOSELLA,23.22,NA,7.224859855,18.62857,0.47,0.212738048,100.7034183,0.365217075,FORB,PERENNIAL,FORB
901,SOLIDAGO RIGIDA,11.83477126,0.598,8.386758333,10.23214847,0.3048,0.212780118,35.33592984,0.482373411,FORB,PERENNIAL,FORB
539,LACTUCA TATARICA,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,FORB,PERENNIAL,FORB
1046,ASCLEPIAS TUBEROSA,26.19666667,0.5748,19.260113,24.40050548,0.4064,0.22,36.66666667,0.5,,,
904,SONCHUS ARVENSIS,26.4,1.1875,NA,21,0.56,0.22,40.22,NA,FORB,PERENNIAL,FORB
58,ANTHYLLIS VULNERARIA,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,FORB,PERENNIAL,LEGUME
332,ELYMUS REPENS,26.17661742,0.605442518,16.42030861,22.79877956,0.3556,0.220460629,91.89875611,0.258457785,GRASS,PERENNIAL,GRASS
84,ARTEMISIA LUDOVICIANA,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,FORB,PERENNIAL,FORB
457,GUTIERREZIA SAROTHRAE,18.68,0.23,12.4,9.393567894,0.4064,0.225,82.1343,0.2661,SHRUB,PERENNIAL,FORB
560,LESPEDEZA CAPITATA,19.09948702,0.842,31.172408,12.45020289,0.4572,0.228401178,79.00332954,0.333275,FORB,PERENNIAL,LEGUME
1006,VERONICA SERPYLLIFOLIA,NA,0.195833333,NA,22.86188407,0.21,0.229166667,NA,0.0915,FORB,PERENNIAL,FORB
24,AGROSTIS CAPILLARIS,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,GRASS,PERENNIAL,GRASS
531,KNAUTIA ARVENSIS,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,FORB,PERENNIAL,FORB
411,FESTUCA RUBRA,19.05492673,0.452958333,7.08,20.02617821,0.3048,0.233235525,348.147287,0.12,GRASS,PERENNIAL,GRASS
929,STIPA PENNATA,13.2,0.475,10.1,16.05136437,NA,0.238540863,45.88074833,0.4617094,GRASS,PERENNIAL,GRASS
908,SORGHASTRUM NUTANS,11.00766508,1.036,12.414309,NA,0.6096,0.242752216,106.1696388,0.254561111,GRASS,PERENNIAL,GRASS
596,LUPINUS ARGENTEUS,46.278,0.3955,28.5,15.91270952,0.1524,0.24348977,12.8732,NA,FORB,PERENNIAL,LEGUME
1022,VULPIA OCTOFLORA,19.49,0.127,NA,NA,0.18,0.243529486,437.3523058,0.11168,GRASS,ANNUAL,GRASS
